"Cond","Chain","Gen","Item","Shape","Colour","Border","Code","Word","RatedSpikiness"
"Communication",3,6,"RoundGreen","Redondo","Verde","Fino",257,"vremuba",3.9375
"Communication",3,6,"RoundBlue","Redondo","Azul","Fino",267,"zueje",5.6875
"Communication",3,6,"RoundRedThick","Redondo","Rojo","Grueso",248,"remuba",2.466666667
"Communication",3,6,"RoundGreenThick","Redondo","Verde","Grueso",258,"vremuvaa",3.266666667
"Communication",3,6,"RoundBlueThick","Redondo","Azul","Grueso",268,"zueje",5.6875
"Learn",4,1,"SpikyRed","Picudo","Rojo","Fino",147,"tukebona",5.4
"Learn",4,1,"SpikyGreen","Picudo","Verde","Fino",157,"pilu",3.9375
"Learn",4,1,"SpikyBlue","Picudo","Azul","Fino",167,"kipe",5.6875
"Learn",4,1,"SpikyRedThick","Picudo","Rojo","Grueso",148,"quemusije",5.133333333
"Learn",4,1,"SpikyGreenThick","Picudo","Verde","Grueso",158,"romiba",3.2
"Learn",4,1,"SpikyBlueThick","Picudo","Azul","Grueso",168,"doze",3.6875
"Learn",4,1,"RoundRed","Redondo","Rojo","Fino",247,"zisa",5.4
"Learn",4,1,"RoundGreen","Redondo","Verde","Fino",257,"neroro",3.333333333
"Learn",4,1,"RoundBlue","Redondo","Azul","Fino",267,"kipe",5.6875
"Learn",4,1,"RoundRedThick","Redondo","Rojo","Grueso",248,"faludelu",2.875
"Learn",4,1,"RoundGreenThick","Redondo","Verde","Grueso",258,"romiba",3.2
"Learn",4,1,"RoundBlueThick","Redondo","Azul","Grueso",268,"kopo",4.3125
"Learn",4,2,"SpikyRed","Picudo","Rojo","Fino",147,"tuquebona",3.8
"Learn",4,2,"SpikyGreen","Picudo","Verde","Fino",157,"lea",2.333333333
"Learn",4,2,"SpikyBlue","Picudo","Azul","Fino",167,"kipe",5.6875
"Learn",4,2,"SpikyRedThick","Picudo","Rojo","Grueso",148,"quemusije",5.133333333
"Learn",4,2,"SpikyGreenThick","Picudo","Verde","Grueso",158,"remuru",3.333333333
"Learn",4,2,"SpikyBlueThick","Picudo","Azul","Grueso",168,"kipe",5.6875
"Learn",4,2,"RoundRed","Redondo","Rojo","Fino",247,"romiba",3.2
